key,program_type,catalog_url,duration,difficulty,title,summary,skills
nd000,Nanodegree,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,5 months,Beginner,Introduction to Programming,"Welcome to the world of programming! Learn the skills that all programmers use, whether they build apps, web pages, or analyze data.","['API requests', 'Bash', 'Basic Python', 'Built-in Python functions', 'CSS', 'Code debugging', 'Code refactoring', 'Coding best practices', 'Command line interface basics', 'Commenting code', 'Computer memory architecture', 'Control flow in Python', 'Devtools', 'Flexbox', 'Front-end development basics', 'HTML', 'JSON', 'Linting', 'Object-oriented Python', 'Pep8', 'Python classes', 'Python data structures', 'Python data types', 'Python exception handling', 'Python function definition', 'Python functions', 'Python lists', 'Python methods', 'Python operators', 'Python scripting', 'Python standard library', 'Python syntax', 'Python turtle', 'Python variables', 'Shell scripting', 'Text processing in Python', 'User input handling', 'Variable scope']"
nd940,Nanodegree,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,5 months,Intermediate,Android Kotlin Developer,Learn the latest in development technology using Android Studio,"['Android activity lifecycle', 'Android best practices', 'Android custom views', 'Android development basics', 'Android development environment', 'Android notifications', 'Android property animations', 'Android studio', 'Android ui development', 'App localization', 'Application animations', 'Data binding', 'Declarative XML', 'Dependency injection', 'Espresso testing framework', 'Fetching data', 'Firebase', 'Glide', 'Google maps in android development', 'Identity and access management fundamentals', 'Integration testing', 'Location-aware app development', 'Mobile app testing', 'Mockito', 'Model-view-viewmodel architecture', 'Multi-screen app design', 'Offline caching', 'Recyclerview', 'Responsive app design', 'Retrofit', 'Rtl', 'Talkback']"
nd891,Nanodegree,https://www.udacity.com/course/computer-vision-nanodegree--nd891,a month,Advanced,Computer Vision,"Master the computer vision skills behind advances in robotics and automation. Write programs to analyze images, implement feature extraction, and recognize objects using deep learning models.","['2d image transforms', 'Attention mechanisms', 'Convolutional kernels', 'Convolutional neural networks', 'Data augmentation', 'Facial recognition', 'Feature detection', 'Feature embeddings', 'Feature matching', 'Feature visualization', 'Hough transforms', 'Image caption generation', 'Image classification', 'K-means clustering', 'Long-short term memory networks', 'Model training', 'Neural network activation', 'Neural network basics', 'Neural network memory', 'Object detection', 'Object localization', 'Object recognition', 'Object tracking', 'PyTorch', 'Recurrent neural networks', 'Slam', 'Yolo algorithm']"
nd787,Nanodegree,https://www.udacity.com/course/flying-car-nanodegree--nd787,3 months,Advanced,Flying Car and Autonomous Flight Engineer,"Master autonomous flight software engineering skills as you learn about drone robotics, develop sophisticated flying car systems, and write real code for real aircraft.","['1d robot motion control', '2d robot motion control', '2d search space representation', '3d robot motion control', '3d search space representation', 'A* search algorithm', 'Accelerometers', 'Automated path planning', 'Automated planning heuristics', 'Barometers', 'Basic probability', ""Bayes' filter for localization"", ""Bayes' theorem"", ""Bresenham's line algorithm"", 'Control systems', 'Dead reckoning', 'Drone flight control', 'Euler angles', 'Event-driven programming', 'Extended kalman filters', 'Feature tracking', 'Gps', 'Graph algorithms', 'Graph theory', 'Gyroscopes', 'Imus', 'Jacobians', 'Jupyter notebooks', 'Kalman filters', 'Least squares', 'Magnetometers', 'Mathematical optimization', 'Monte carlo methods', 'Object state estimation', 'Object state estimation without gps', 'Optical flow in computer vision', 'Particle filters', 'Pid controller', 'Px4 autopilot', 'Qgroundcontrol', 'Quadrotor control systems', 'Quadrotor dynamics', 'Quadrotor hardware components', 'Quaternions', 'Random sampling', 'Ray tracing', 'Robot motion planning', 'Robot representation', 'Rotation matrices', 'Search algorithms', 'Sensor calibration', 'Sensor fusion', 'Sensors', 'Statistical sampling', 'Unscented kalman filters']"
nd698,Nanodegree,https://www.udacity.com/course/security-engineer-nanodegree--nd698,4 months,Intermediate,Security Engineer,"You’ll master the foundational skills necessary to become a Security Engineer. This program will focus on how to protect a company’s computer systems, networks, applications and infrastructure.","['Access control models', 'Access management', 'Advanced persistent threat', 'Adversarial simulation', 'Application security best practices', 'Authentication', 'Authorization', 'Backup strategy', 'Brute force attacks', 'Chroot jails', 'Cia triad', 'Credential management', 'Cross-functional collaboration', 'Cryptography', 'Cve', 'Cvss', 'Cybersecurity advisories', 'Cybersecurity business context', 'Cybersecurity compliance', 'Cybersecurity controls', 'Cybersecurity fluency', 'Cybersecurity framework implementation', 'Cybersecurity grc', 'Cybersecurity reconnaissance', 'Cybersecurity resource fluency', 'Cybersecurity risk management', 'Cybersecurity segregation of duties', 'Cybersecurity standards fluency', 'Cybersecurity strategy', 'Data encryption', 'Data security fundamentals', 'Disaster recovery plans', 'Endpoint security', 'File integrity monitoring', 'Firewall configuration', 'Firewalls', 'Fuzzing', 'Golden images', 'Hashing', 'Host-based idss', 'Intrusion detection systems', 'Intrusion prevention', 'Ipv6 security', 'It asset management', 'Logging', 'Mandatory access control', 'Microservices security', 'Microsoft domain isolation policy design', 'Multi-factor authentication', 'Network access control lists', 'Network monitoring', 'Network segmentation', 'Nmap', 'Non-repudiation', 'Operating system hardening', 'Osquery', 'Owasp', 'Owasp top-10', 'Packet analysis', 'Perimeter security', 'Principle of least privilege', 'Public key certificate management', 'Public key certificates', 'Public key infrastructure', 'Remote access management', 'Report writing', 'Role-based access control', 'Security architecture fundamentals', 'Security auditing', 'Security information and event management', 'Security patch management', 'Security risk classification', 'Server hardening strategy', 'Shift-left testing', 'Software development lifecycle', 'Static application security testing', 'Tcp/ip', 'Threat hunting', 'Threat mitigation', 'Threat modeling', 'Unix os hardening', 'VPN', 'Virtual lan', 'Vulnerability assessment', 'Vulnerability exploitation', 'Vulnerability management', 'Vulnerability patching', 'Vulnerability scanning', 'Web application firewalls', 'Wireshark', 'Yara rules']"
nd578,Nanodegree,https://www.udacity.com/course/ux-designer-nanodegree--nd578,2 months,Beginner,User Experience,"The UX Fundamentals & Design Research program teaches the core principles of human-centered design, including scoping a design problem, conducting in-depth interviews, creating quantitative surveys, using research data to uncover opportunities, and applying psychology to design sketches with the end user in mind. Participants will learn how to develop a discussion guide, recruit research participants, and synthesize findings in the form of a research report. They will also learn how to translate research findings into low-fidelity prototypes that can be tested with users, design high-fidelity prototypes, and conduct usability tests. Finally, the program teaches advanced user interface principles to build interactive designs that engage users and improve key performance indicators.","['Accessible user experience design', 'Clickable prototypes', 'Customer journey maps', 'Design annotation', 'Design optimization', 'Design systems', 'Double diamond design model', 'Feature prioritization', 'Feedback loops', 'Figma', 'Guerilla design sprints', 'High fidelity prototypes', 'How might we method', 'Ideation', 'Iterative product design', 'Low fidelity prototypes', 'Minimal viable products', 'Product KPIs', 'Product prototyping', 'Production-ready assets', 'Qualitative data analysis', 'Remote user testing', 'Stakeholder management', 'Ui design', 'Ui kits and plugins', 'Usability testing', 'User stories', 'User-friendly visual design', 'Visual style guides']"
nd256,Nanodegree,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256,2 months,Intermediate,Data Structures and Algorithms,Get hands-on practice with over 100 data structures and  algorithm exercises and guidance from a dedicated mentor to help prepare you for interviews and on-the-job scenarios.,"['A* search algorithm', 'Basic Python', 'Basic algorithms', 'Breadth-first search', 'Data structures', 'Depth-first search', 'Divide and conquer algorithms', 'Dynamic programming', 'Graph algorithms', 'Graph data structure', 'Greedy algorithms', 'Hash maps', 'Python arrays', 'Python trees', 'Recursive algorithms', 'Sorting algorithms', 'Tree algorithms', 'Tree search']"
nd229,Nanodegree,https://www.udacity.com/course/intro-to-machine-learning-nanodegree--nd229,2 months,Intermediate,Introduction to Machine Learning with Pytorch,"Build powerful machine learning models to make predictions and uncover hidden patterns. Start with foundational supervised learning algorithms, including linear regression, decision trees, naive Bayes, support vector machines (SVMs), and perceptrons, then evaluate your model performance with a variety of evaluation metrics. Then, you'll advance from perceptrons to deep neural networks in order to perform supervised learning on complex data sources such as images. Finally, you'll dive into unsupervised learning methods, including clustering and dimensionality reduction for customer segmentation. For each technique, you'll start by learning the underlying math, then implement real-world models with Python libraries, including PyTorch and scikit-learn.","['AI algorithms in Python', 'Backpropagation', 'Categorical data visualization', 'Chart types', 'Cluster models', 'Convolutional kernels', 'Dbscan', 'Decision trees', 'Deep learning fluency', 'Dimensionality reduction', 'Gaussian mixture models', 'Gradient descent', 'Hyperparameter tuning', 'Independent component analysis', 'K-means clustering', 'Linear regression', 'Logistic regression', 'Market segmentation', 'Model evaluation', 'Naive bayes classifiers', 'NumPy', 'Overfitting prevention', 'Perceptron', 'Principal component analysis', 'Professional presentations', 'PyTorch', 'Quantitative data visualization', 'Single linkage clustering', 'Spam detection', 'Statistical modeling fundamentals', 'Support vector machines', 'Training neural networks', 'scikit-learn']"
nd189,Nanodegree,https://www.udacity.com/course/aws-machine-learning-engineer-nanodegree--nd189,4 months,Intermediate,AWS Machine Learning Engineer Nanodegree,"Develop the skills to build and deploy machine learning models in production environments using Amazon SageMaker. Understand the foundations of data science and machine learning as you explore Amazon SageMaker's latest features for model design and deployment. Engage in hands-on projects and case studies that mirror real-world scenarios, applying best practices to create scalable, production-ready machine learning solutions. Enhance your expertise in areas such as data preprocessing, model training, and deployment pipelines. Learn to leverage Amazon SageMaker's capabilities, including its integrated development environment, automated model tuning, and deployment services. This program is designed to advance your career by providing practical experience in deploying ML models at scale.","['AI business context', 'AWS lambda', 'AWS step functions', 'AWS storage services', 'Amazon elastic compute cloud', 'Amazon s3', 'Autogluon', 'Automated machine learning', 'Cloud cost management', 'Cloud performance management', 'Cloud resource allocation', 'Cloud security in AWS', 'Convolutional neural networks', 'Data loading with sagemaker', 'Dataset annotation', 'Deep learning fluency', 'Deep learning model optimization', 'Distributed model training with sagemaker', 'Feature engineering', 'Hyperparameter tuning', 'Image classification', 'Linear models', 'Machine learning dataset fundamentals', 'Machine learning fluency', 'Machine learning framework fundamentals', 'Machine learning lifecycle', 'Machine learning pipeline creation', 'Machine learning use cases', 'Model deployment with sagemaker', 'Model monitoring', 'Model performance metrics', 'Model training', 'Neural network basics', 'Pandas', 'PyTorch', 'Sagemaker autoscaling', 'Sagemaker batch transform jobs', 'Sagemaker clarify', 'Sagemaker data wrangler', 'Sagemaker debugger', 'Sagemaker feature store', 'Sagemaker ground truth', 'Sagemaker jumpstart', 'Sagemaker logs', 'Sagemaker model endpoints', 'Sagemaker model monitor', 'Sagemaker pipelines', 'Sagemaker processing', 'Sagemaker studio notebooks', 'Sagemaker training jobs', 'Text classification', 'Training data manifest files', 'Training neural networks', 'Transfer learning', 'Transformer neural networks', 'Tree-based models', 'Vpc', 'Xgboost', 'scikit-learn']"
nd118,Nanodegree,https://www.udacity.com/course/programming-for-data-science-nanodegree-with-R--nd118,2 months,Beginner,Programming for Data Science with R ,"This Programming for Data Science with R Nanodegree program provides an overview of data analysis and programming. In the SQL course, students learn to use SQL to answer complex business problems, including basic commands, joins, and aggregations. In the R course, students learn programming fundamentals and topics such as data types, functions, loops, and conditional statements. They learn to read and manipulate data in R, create basic visualizations, and perform statistical analysis. The version control course teaches students to use Git and GitHub to manage versions of programs and collaborate with others. These courses include practical projects where students use their skills to analyze real data.","['Control flow in r', 'Data structures', 'Ides', 'R data structures', 'R function definition', 'R syntax', 'SQL aggregations', 'SQL joins', 'SQL queries', 'SQL subqueries', 'SQL window functions']"
nd101,Nanodegree,https://www.udacity.com/course/deep-learning-nanodegree--nd101,2 months,Intermediate,Deep Learning,"Build foundational skills in deep learning by designing and training neural networks to solve complex real-world problems. You’ll begin with the essentials of neural networks, advancing to specialized architectures like Convolutional and Recurrent Neural Networks, along with Generative Adversarial Networks. Through projects, create models for applications such as image classification, sentiment analysis, and face generation, gaining hands-on experience with PyTorch and advanced training techniques. Ideal for those aiming to harness the potential of deep learning, this experience prepares you to tackle AI challenges across various domains.","['Advanced probability', 'Autoencoders', 'Backpropagation', 'Bert', 'Bounding boxes', 'Convolutional kernels', 'Convolutional neural networks', 'Cyclegan', 'Deep learning', 'Deep learning model optimization', 'Deep learning techniques', 'Deep learning tools', 'Generative adversarial networks', 'Gpt3', 'Gradient descent', 'Hyperparameter tuning', 'Image classification', 'Image generation', 'Image pre-processing', 'Image segmentation', 'Long-short term memory networks', 'Markov games', 'Model evaluation', 'Model performance metrics', 'Model training', 'NLP transformers', 'Neural network initialization', 'Neural networks', 'Object detection', 'Overfitting prevention', 'Perceptron', 'PyTorch', 'Recurrent neural networks', 'Semantic image segmentation', 'Training neural networks', 'Transfer learning', 'U-net', 'Word2vec', 'scikit-learn']"
nd089,Nanodegree,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,3 months,Beginner,AI Programming with Python,"Develop a strong foundation in Python programming for AI, utilizing tools like NumPy, pandas, and Matplotlib for data analysis and visualization. Learn how to use, build, and train machine learning models with popular Python libraries. Implement neural networks using PyTorch. Gain practical experience with deep learning frameworks by applying your skills through hands-on projects. Explore generative AI with Transformer neural networks, learn to build, train, and deploy them with PyTorch, and leverage pre-trained models for natural language processing tasks. Designed for individuals with basic programming experience, this program prepares you for advanced studies in AI and machine learning, equipping you with the skills to begin a career in AI programming.","['AI algorithms in Python', 'Backpropagation', 'Built-in Python functions', 'Chain rule application', 'Code debugging', 'Control flow', 'Derivatives', 'Docstrings', 'File i/o', 'Generators', 'Gradient descent', 'Implicit differentiation', 'Integrals', 'Iterators', 'Lambda expressions', 'Limits of functions', 'Linear algebra', 'List comprehension', 'Loops', 'Matrix multiplication', 'NumPy', 'Pip', 'PyTorch', 'Python data structures', 'Python data types', 'Python exception handling', 'Python function definition', 'Python operators', 'Python scripting', 'Systems of linear equations', 'Training neural networks', 'Transformer neural networks', 'User input handling', 'Variable scope', 'Vector visualization', 'matplotlib']"
nd064,Nanodegree,https://www.udacity.com/course/cloud-native-application-architecture-nanodegree--nd064,3 months,Intermediate,Cloud Native Application Architecture,"In this program, students will learn to run and manage scalable applications in a cloud native environment, using open source tools and projects like ArgoCD, gRPC, and Grafana.","['Application code vulnerabilities', 'Application development best practices', 'Application tracing', 'Argo cd', 'CI/CD', 'Cis benchmarks', 'Cloud architecture model types', 'Cloud communication protocols', 'Cloud computing fluency', 'Cloud dependency maps', 'Cloud foundry', 'Cloud migration strategy', 'Cloud observability', 'Cybersecurity incident response playbooks', 'Declarative manifests', 'Docker', 'Docker security', 'Docker-bench', 'Github actions', 'Grafana', 'Grpc', 'Grype', 'Helm', 'Image hardening', 'Image layer analysis', 'Image signing', 'Jaeger', 'Kafka basics', 'Kube-bench', 'Kubernetes', 'Kubernetes security', 'Message passing', 'Message queues', 'Microservices hardening test plans', 'Microservices security', 'Nist nvd', 'Observability dashboards', 'OpenAPI', 'Owasp top-10', 'Platform as a service', 'Prometheus', 'REST APIs', 'Refactoring from a monolith', 'Runtime security monitoring', 'Shift-left testing', 'Site reliability metrics', 'Software composition analysis', 'Strangler pattern', 'Stride framework', 'Syft', 'Sysdig falco', 'Template manifests', 'Trivy']"
nd036,Nanodegree,https://www.udacity.com/course/product-manager-nanodegree--nd036,2 months,Beginner,Product Manager,"Develop essential product management skills to launch successful products in today's competitive market. This comprehensive program covers the entire product lifecycle, from ideation to launch and beyond, teaching you market research, product strategy, roadmap creation, and development management. Through hands-on projects and real-world scenarios, you will gain practical experience and apply concepts directly to simulated product launches. You will be equipped with skills in market analysis, agile methodologies, user experience design, and data-driven decision-making, preparing you for roles in product management. This program is ideal for aspiring product managers and professionals looking to transition into product-focused roles.","['A/B testing', 'Active listening', 'Affinity mapping', 'Business model canvasses', 'Competitive analysis', 'Crazy 8s', 'Cross-functional collaboration', 'Decision matrix method', 'End-user documentation', 'Evangelization', 'Feedback loops', 'Functional testing', 'High fidelity prototypes', 'How might we method', 'Iterative product design', 'Minimal viable products', 'Mixed methods market research', 'Negotiation', 'Persuasion', 'Press releases', 'Prioritization', 'Problem validation', 'Product KPIs', 'Product design principles', 'Product design sprints', 'Product development cycle', 'Product launch', 'Product management basics', 'Product marketing', 'Product pricing strategy', 'Product proposals', 'Product prototyping', 'Product requirements documents', 'Product roadmaps', 'Product scaling', 'Product storyboarding', 'Product success metrics', 'Product validation', 'Professional presentations', 'Project evaluation', 'Project management frameworks', 'Project risk mitigation', 'Real-world Testing', 'Requirements gathering', 'Return on investment', 'Solution sketching', 'Stakeholder identification', 'Stakeholder management', 'Storytelling', 'Technical feasibility evaluation', 'Thinking hats', 'Total addressable market', 'User interviews', 'User personas', 'User research planning']"
